"X-Accelerate(m^2/s)","Y-Accelerate(m^2/s)","Z-Accelerate(m^2/s)"
0.092000,-0.036000,1.604402
0.092000,-0.036000,1.604402
0.092000,-0.036000,1.604402
0.092000,-0.036000,1.604402
0.092000,-0.036000,1.604402
0.140000,0.096000,2.264205
0.140000,0.096000,2.264205
0.140000,0.096000,2.264205
0.140000,0.096000,2.264205
0.140000,0.096000,2.264205
0.152000,-0.096000,2.779487
0.152000,-0.096000,2.779487
0.152000,-0.096000,2.779487
0.152000,-0.096000,2.779487
0.152000,-0.096000,2.779487
-0.048000,0.136000,2.209225
-0.048000,0.136000,2.209225
-0.048000,0.136000,2.209225
-0.048000,0.136000,2.209225
-0.048000,0.136000,2.209225
0.054000,0.042000,2.567028
0.054000,0.042000,2.567028
0.054000,0.042000,2.567028
0.054000,0.042000,2.567028
0.054000,0.042000,2.567028
0.302000,-0.144000,2.574432
0.302000,-0.144000,2.574432
0.302000,-0.144000,2.574432
0.302000,-0.144000,2.574432
0.302000,-0.144000,2.574432
-0.262000,-0.228000,2.318122
-0.262000,-0.228000,2.318122
-0.262000,-0.228000,2.318122
-0.262000,-0.228000,2.318122
-0.262000,-0.228000,2.318122
0.016000,0.076000,2.277574
0.016000,0.076000,2.277574
0.016000,0.076000,2.277574
0.016000,0.076000,2.277574
0.016000,0.076000,2.277574
-0.086000,-0.004000,2.246348
-0.086000,-0.004000,2.246348
-0.086000,-0.004000,2.246348
-0.086000,-0.004000,2.246348
-0.086000,-0.004000,2.246348
0.026000,0.190000,2.365767
0.026000,0.190000,2.365767
0.026000,0.190000,2.365767
0.026000,0.190000,2.365767
0.026000,0.190000,2.365767
0.070000,-0.232000,3.073274
0.070000,-0.232000,3.073274
0.070000,-0.232000,3.073274
0.070000,-0.232000,3.073274
0.070000,-0.232000,3.073274
-0.022000,0.128000,2.190468
-0.022000,0.128000,2.190468
-0.022000,0.128000,2.190468
-0.022000,0.128000,2.190468
-0.022000,0.128000,2.190468
-0.036000,0.138000,2.713237
-0.036000,0.138000,2.713237
-0.036000,0.138000,2.713237
-0.036000,0.138000,2.713237
-0.036000,0.138000,2.713237
0.170000,0.068000,1.685908
0.170000,0.068000,1.685908
0.170000,0.068000,1.685908
0.170000,0.068000,1.685908
0.170000,0.068000,1.685908
-0.392000,-0.116000,1.112610
-0.392000,-0.116000,1.112610
-0.392000,-0.116000,1.112610
-0.392000,-0.116000,1.112610
-0.392000,-0.116000,1.112610
0.160000,0.086000,2.031535
0.160000,0.086000,2.031535
0.160000,0.086000,2.031535
0.160000,0.086000,2.031535
0.160000,0.086000,2.031535
-0.038000,0.206000,2.081216
-0.038000,0.206000,2.081216
-0.038000,0.206000,2.081216
-0.038000,0.206000,2.081216
-0.038000,0.206000,2.081216
0.190000,0.032000,2.624324
0.190000,0.032000,2.624324
0.190000,0.032000,2.624324
